Nome,Variações
BIANCA,BIANCA
LEM,LEM
DIRAH,DIRAH
WILL,WILL
BLACKSMITH,BLACKSMITH
WINTERFELL SHEPHERD,WINTERFELL SHEPHERD
CHILD,CHILD
YARWYCK,YARWYCK
THIN MAN,THIN MAN
HEAD,HEAD
LEADER,LEADER
LEAF,LEAF
HARRY,HARRY
MARTHA,MARTHA
GARED,GARED
PRIEST,PRIEST
JACKS,JACKS
UNSULLIED,UNSULLIED
PIG FARMER,PIG FARMER
EVERYBODY,EVERYBODY
FREY GUARD,FREY GUARD
TANSY,TANSY
ELDER MEEREEN SLAVE,ELDER MEEREEN SLAVE
KNIGHT,KNIGHT
GOATHERD,GOATHERD
NIGHT'S WATCH,NIGHT'S WATCH
DONNEL,DONNEL
MILITANT,MILITANT
KINGSGUARD,KINGSGUARD
SLAVE BUYER,SLAVE BUYER
BOLTON OFFICER,BOLTON OFFICER
TEELA,TEELA
VICKY,VICKY
CASSEL,CASSEL
RAKHARO,RAKHARO
GERARD,GERARD
REGINALD,REGINALD
SEPTON,SEPTON
WHORE,WHORE
MAREI,MAREI
BABY,BABY
DORNISH LORD,DORNISH LORD
AXELL FLORENT,AXELL
MOLE'S TOWN MADAM,MOLE'S TOWN MADAM
SLAVES,SLAVES
SISSY,SISSY
BOLTON GUARD,BOLTON GUARD
SLAVER,SLAVER
NAN,NAN
DOTHRAKI MATRON,DOTHRAKI MATRON
VALA,VALA
MAESTER PYCELLE,PYCELLE
TALLA,TALLA
WAYMAR ROYCE,WAYMAR
MHAEGAN,MHAEGAN
ARMORY,ARMORY
PROTESTER,PROTESTER
FARLEN,FARLEN
IRONBORN,IRONBORN
AHSA,AHSA
WILDLING,WILDLING
DAUGHTER,DAUGHTER
MORGAN'S FRIEND,MORGAN'S FRIEND
INNKEEPER'S DAUGHTER,INNKEEPER'S DAUGHTER
GUYMON,GUYMON
CHAMPION,CHAMPION
MEEREEN SLAVE,MEEREEN SLAVE
MORAG,MORAG
FIRST MATE,FIRST MATE
SQUIRE,SQUIRE
WAITRESS,WAITRESS
BROTHERS,BROTHERS
MASTER,MASTER
WUN WUN,WUN WUN
RED PRIEST,RED PRIEST
CHILD OF THE FOREST,CHILD OF THE FOREST
STORYTELLER,STORYTELLER
LITTLE BIRD,LITTLE BIRD
BELICHO,BELICHO
DIM DALBA,DIM DALBA
ATTENDANT,ATTENDANT
VALE KNIGHT,VALE KNIGHT
LYANNA MORMONT,LYANNA MORMONT
MESSENGER,MESSENGER
WILLA,WILLA
FATHER,FATHER
OWEN,OWEN
SEPTA MORDANE,MORDANE
A VOICE,A VOICE
PORTAN,PORTAN
WATCHMAN,WATCHMAN
THE GROUP,THE GROUP
THE OTHERS AT THE TABLE,THE OTHERS AT THE TABLE
ALL THREE,ALL THREE
COLEN,COLEN
TIMETT,TIMETT
BITER,BITER
QUENT,QUENT
SILK KING,SILK KING
MANDON,MANDON
MALE SINGER,MALE SINGER
TAILOR,TAILOR
SERVANT,SERVANT
DRIVER,DRIVER
GREIZHEN,GREIZHEN
WILLEM,WILLEM
MERRY,MERRY
ROSLIN,ROSLIN
WARG,WARG
OFFICER,OFFICER
INNKEEPER,INNKEEPER
MUSICIAN,MUSICIAN
RANGER,RANGER
OLLY'S MOTHER,OLLY'S MOTHER
LHARA,LHARA
MANSERVANT,MANSERVANT
SER VANCE,VANCE
TOGETHER,TOGETHER
THENN WARG,THENN WARG
COOPER,COOPER
ALL TOGETHER,ALL TOGETHER
WHITE RAT,WHITE RAT
MASTER OF ARMS,MASTER OF ARMS
BRAAVOSI MAN,BRAAVOSI MAN
HUNTERS,HUNTERS
SHADOW TOWER BROTHER,SHADOW TOWER BROTHER
BYSTANDERS,BYSTANDERS
BLONDE PROSTITUTE,BLONDE PROSTITUTE
MERCHANT,MERCHANT
CLIENT,CLIENT
SAND SNAKES,SAND SNAKES
BUER,BUER
BOLTON BANNERMAN,BOLTON BANNERMAN
WILDLING ELDER,WILDLING ELDER
GIANT,GIANT
SHOUTING,SHOUTING
BROTHEL KEEPER,BROTHEL KEEPER
HEAD PROSTITUTE,HEAD PROSTITUTE
QUICK,QUICK
STRONG,STRONG
SURVIVOR,SURVIVOR
YOUNG RODRIK,YOUNG RODRIK
HOODED FIGURE,HOODED FIGURE
DOTHRAKI WOMAN,DOTHRAKI WOMAN
BOWEN MARSH,BOWEN
AERSON,AERSON
YOUNG MAN,YOUNG MAN
MISTRESS,MISTRESS
MANDERLY,MANDERLY
WALDERY FREY,WALDERY
LITTLE SAM,LITTLE SAM
ARCHERS,ARCHERS
RHAEGAR TARGARYEN,RHAEGAR
BRAN'S VOICE,BRAN'S VOICE
BOTH,BOTH
NORTHMAN,NORTHMAN
SARRA,SARRA
LANNISTER SOLDIER,LANNISTER SOLDIER
RIVERLANDS LORD,RIVERLANDS LORD
DORNISH PRINCE,DORNISH PRINCE
IRONBORN LORD,IRONBORN LORD
VALE LORD,VALE LORD
UNSULLIED CAPTAIN,UNSULLIED CAPTAIN
